key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,21.39749,space,6.365865,space,4.248595,space,6.69289,left,5.003505,space,1.973605,right,0.0,18.18195,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,10.88622,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,7.462525,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,g,7.994135,right,1.0,10.895635,0.0,0.0,0.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,6.18076,0.0,1.0,1.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.380355,0.0,2.0,2.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.41532,0.0,3.0,3.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,10.01038,0.0,4.0,4.0,45.0,1.0,5000.0,0.0,15000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.39371,0.0,5.0,5.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,134,2020-11-12_11h21.34.266,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.939275,0.0,6.0,6.0,49.0,1.0,5000.0,0.0,149000.0,59.0
