key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,4.1703,space,27.5815,space,18.3137,space,6.6184,right,3.4679,space,3.7863,right,0.0,9.4676,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,6.0025,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,6.0053,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,g,21.5431,left,1.0,7.5401,0.0,0.0,0.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.5375,0.0,1.0,1.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.867,0.0,2.0,2.0,15.0,1.0,10000.0,0.0,20000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,9.4546,0.0,3.0,3.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.8508,0.0,4.0,4.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.76,0.0,5.0,5.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.8767,0.0,6.0,6.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,10.8613,0.0,7.0,7.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.9343,0.0,8.0,8.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.891,0.0,9.0,9.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,225,2022-03-05_07h33.12.279,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.6671,0.0,10.0,10.0,40.0,1.0,5000.0,0.0,14000.0,31.0
