key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,6.9305,space,17.6305,space,9.8003,space,2.7916,right,6.3336,space,3.3184,right,0.0,4.7185,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,5.258,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,3.3851,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,g,4.9871,right,1.0,5.2686,0.0,0.0,0.0,83.0,1.0,25000.0,0.0,125000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.9311,0.0,1.0,1.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.419,0.0,2.0,2.0,0.0,1.0,10000.0,0.0,20000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.5368,0.0,3.0,3.0,27.0,1.0,10000.0,0.0,61000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2863,0.0,4.0,4.0,66.0,1.0,25000.0,0.0,55000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.5954,0.0,5.0,5.0,60.0,1.0,25000.0,0.0,35000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.8992,0.0,6.0,6.0,47.0,1.0,5000.0,0.0,56000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.9456,0.0,7.0,7.0,46.0,1.0,5000.0,0.0,36000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.4722,0.0,8.0,8.0,19.0,1.0,10000.0,0.0,149000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,5.3351,0.0,9.0,9.0,57.0,1.0,5000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.6166,0.0,10.0,10.0,49.0,1.0,5000.0,0.0,149000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2502,0.0,11.0,11.0,17.0,1.0,10000.0,0.0,60000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2992,0.0,12.0,12.0,69.0,1.0,25000.0,0.0,150000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.531,0.0,13.0,13.0,26.0,1.0,10000.0,0.0,39000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.121,0.0,14.0,14.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.3273,0.0,15.0,15.0,10.0,1.0,10000.0,0.0,21000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.6983,0.0,16.0,16.0,12.0,1.0,10000.0,0.0,60000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.8868,0.0,17.0,17.0,18.0,1.0,10000.0,0.0,110000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3455,0.0,18.0,18.0,13.0,1.0,10000.0,0.0,111000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.8899,0.0,19.0,19.0,74.0,1.0,25000.0,0.0,150000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2094,0.0,20.0,20.0,5.0,1.0,10000.0,0.0,19000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.033,0.0,21.0,21.0,54.0,1.0,5000.0,0.0,150000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.5881,0.0,22.0,22.0,22.0,1.0,10000.0,0.0,61000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.1444,0.0,23.0,23.0,25.0,1.0,10000.0,0.0,10000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,331,2022-07-25_07h42.06.094,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.0096,0.0,24.0,24.0,76.0,1.0,25000.0,0.0,55000.0,60.0,,
