key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,4.704,space,0.703,space,0.336,space,3.409,right,5.792,space,2.266,right,1.0,1.663,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,3.613,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,5.238,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,g,81.924,left,1.0,2.945,0.0,0.0,0.0,59.0,1.0,5000.0,0.0,151000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.458,0.0,1.0,1.0,68.0,1.0,25000.0,0.0,125000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.828,0.0,2.0,2.0,38.0,1.0,5000.0,0.0,104000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.608,0.0,3.0,3.0,78.0,1.0,25000.0,0.0,125000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.528,0.0,4.0,4.0,3.0,1.0,10000.0,0.0,109000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.826,0.0,5.0,5.0,26.0,1.0,10000.0,0.0,39000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.066,0.0,6.0,6.0,57.0,1.0,5000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.524,0.0,7.0,7.0,63.0,1.0,25000.0,0.0,125000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.592,0.0,8.0,8.0,88.0,1.0,25000.0,0.0,125000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.663,0.0,9.0,9.0,76.0,1.0,25000.0,0.0,55000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.941,0.0,10.0,10.0,36.0,1.0,5000.0,0.0,36000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,4.058,0.0,11.0,11.0,21.0,1.0,10000.0,0.0,40000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.517,0.0,12.0,12.0,58.0,1.0,5000.0,0.0,106000.0,152.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.522,0.0,13.0,13.0,50.0,1.0,5000.0,0.0,15000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.186,0.0,14.0,14.0,48.0,1.0,5000.0,0.0,105000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.32,0.0,15.0,15.0,28.0,1.0,10000.0,0.0,109000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.383,0.0,16.0,16.0,31.0,1.0,5000.0,0.0,35000.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.404,0.0,17.0,17.0,85.0,1.0,25000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.653,0.0,18.0,18.0,81.0,1.0,25000.0,0.0,55000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,395,2020-11-12_08h33.18.187,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.201,0.0,19.0,19.0,87.0,1.0,25000.0,0.0,75000.0,151.0,,
