key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,5.9638,space,5.0596,space,2.2886,space,1.2387,left,7.3732,space,4.2231,left,0.0,6.9892,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,4.9564,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,3.0727,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,g,43.6229,left,0.0,5.3899,0.0,0.0,0.0,54.0,1.0,5000.0,0.0,150000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3398,0.0,1.0,1.0,67.0,1.0,25000.0,0.0,75000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.41,0.0,2.0,2.0,32.0,1.0,5000.0,0.0,54000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,8.707,0.0,3.0,3.0,56.0,1.0,5000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.2729,0.0,4.0,4.0,18.0,1.0,10000.0,0.0,110000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.2271,0.0,5.0,5.0,24.0,1.0,10000.0,0.0,149000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,7.4567,0.0,6.0,6.0,0.0,1.0,10000.0,0.0,20000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.1564,0.0,7.0,7.0,47.0,1.0,5000.0,0.0,56000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.1235,0.0,8.0,8.0,51.0,1.0,5000.0,0.0,35000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,11.9232,0.0,9.0,9.0,6.0,1.0,10000.0,0.0,40000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.6734,0.0,10.0,10.0,43.0,1.0,5000.0,0.0,106000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,10.4569,0.0,11.0,11.0,10.0,1.0,10000.0,0.0,21000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.8901,0.0,12.0,12.0,79.0,1.0,25000.0,0.0,150000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.9728,0.0,13.0,13.0,37.0,1.0,5000.0,0.0,56000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.923,0.0,14.0,14.0,21.0,1.0,10000.0,0.0,40000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.7566,0.0,15.0,15.0,74.0,1.0,25000.0,0.0,150000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.5732,0.0,16.0,16.0,15.0,1.0,10000.0,0.0,20000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,16.1221,0.0,17.0,17.0,31.0,1.0,5000.0,0.0,35000.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.1061,0.0,18.0,18.0,73.0,1.0,25000.0,0.0,125000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.306,0.0,19.0,19.0,44.0,1.0,5000.0,0.0,150000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.5731,0.0,20.0,20.0,46.0,1.0,5000.0,0.0,36000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2732,0.0,21.0,21.0,16.0,1.0,10000.0,0.0,39000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,11.4897,0.0,22.0,22.0,80.0,1.0,25000.0,0.0,35000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.1563,0.0,23.0,23.0,13.0,1.0,10000.0,0.0,111000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.3897,0.0,24.0,24.0,65.0,1.0,25000.0,0.0,35000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3731,0.0,25.0,25.0,36.0,1.0,5000.0,0.0,36000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2231,0.0,26.0,26.0,22.0,1.0,10000.0,0.0,61000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.4739,0.0,27.0,27.0,12.0,1.0,10000.0,0.0,60000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.9584,0.0,28.0,28.0,76.0,1.0,25000.0,0.0,55000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.7896,0.0,29.0,29.0,60.0,1.0,25000.0,0.0,35000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.1729,0.0,30.0,30.0,62.0,1.0,25000.0,0.0,75000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3067,0.0,31.0,31.0,1.0,1.0,10000.0,0.0,39000.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.2731,0.0,32.0,32.0,29.0,1.0,10000.0,0.0,151000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.5059,0.0,33.0,33.0,7.0,1.0,10000.0,0.0,59000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.8731,0.0,34.0,34.0,38.0,1.0,5000.0,0.0,104000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.1451,0.0,35.0,35.0,8.0,1.0,10000.0,0.0,111000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.8569,0.0,36.0,36.0,83.0,1.0,25000.0,0.0,125000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.5565,0.0,37.0,37.0,9.0,1.0,10000.0,0.0,151000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.49,0.0,38.0,38.0,64.0,1.0,25000.0,0.0,150000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.9054,0.0,39.0,39.0,28.0,1.0,10000.0,0.0,109000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,419,2022-03-05_09h41.04.061,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.9731,0.0,40.0,40.0,5.0,1.0,10000.0,0.0,19000.0,11.0,,
