key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,5.5308,space,174.1535,space,39.948,space,7.2866,right,3.1912,space,6.0789,right,0.0,13.8742,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,6.4685,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,14.6826,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,g,84.4421,right,1.0,3.4686,0.0,0.0,0.0,68.0,1.0,25000.0,0.0,125000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.9195,0.0,1.0,1.0,13.0,1.0,10000.0,0.0,111000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.7056,0.0,2.0,2.0,25.0,1.0,10000.0,0.0,10000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.9892,0.0,3.0,3.0,5.0,1.0,10000.0,0.0,19000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.3675,0.0,4.0,4.0,36.0,1.0,5000.0,0.0,36000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.4387,0.0,5.0,5.0,45.0,1.0,5000.0,0.0,15000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.1754,0.0,6.0,6.0,83.0,1.0,25000.0,0.0,125000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,6.6849,0.0,7.0,7.0,48.0,1.0,5000.0,0.0,105000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.5726,0.0,8.0,8.0,49.0,1.0,5000.0,0.0,149000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.9349,0.0,9.0,9.0,61.0,1.0,25000.0,0.0,55000.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.602,0.0,10.0,10.0,9.0,1.0,10000.0,0.0,151000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.9352,0.0,11.0,11.0,67.0,1.0,25000.0,0.0,75000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.0938,0.0,12.0,12.0,28.0,1.0,10000.0,0.0,109000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.9607,0.0,13.0,13.0,70.0,1.0,25000.0,0.0,35000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,1,53,2022-05-19_08h40.18.080,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.5086,0.0,14.0,14.0,19.0,1.0,10000.0,0.0,149000.0,61.0,,
