key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,10.3127,space,14.7307,space,10.537,space,2.7339,right,12.7301,space,1.0124,right,1.0,4.2885,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,3.44,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.4749,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,g,11.8507,right,1.0,4.0249,0.0,0.0,0.0,52.0,1.0,5000.0,0.0,56000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.5873,0.0,1.0,1.0,39.0,1.0,5000.0,0.0,149000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6548,0.0,2.0,2.0,33.0,1.0,5000.0,0.0,104000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.615,0.0,3.0,3.0,1.0,1.0,10000.0,0.0,39000.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.777,0.0,4.0,4.0,80.0,1.0,25000.0,0.0,35000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.3171,0.0,5.0,5.0,86.0,1.0,25000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,75,2021-10-30_09h53.40.490,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.6897,0.0,6.0,6.0,0.0,1.0,10000.0,0.0,20000.0,5.0,,
