key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,3.337,space,13.3581,space,6.7329,space,3.907299999,right,4.6083,space,2.3225,left,1,4.6786,0,0,0,1,1,25000,35000,150,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,3.0521,0,1,1,2,1,10000,19000,89,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,2.409900001,0,2,2,0,1,10000,109000,9,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,g,4.6484,left,1,2.994400001,0,0,0,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3689,0,1,1,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.2876,0,2,2,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.627299999,0,3,3,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0257,0,4,4,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.009400001,0,5,5,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.59,0,6,6,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4042,0,7,7,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.1207,0,8,8,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.9443,0,9,9,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.8228,0,10,10,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.6589,0,11,11,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2038,0,12,12,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.292,0,13,13,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.6914,0,14,14,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.0301,0,15,15,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3282,0,16,16,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.8235,0,17,17,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.8717,0,18,18,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.055,0,19,19,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.5527,0,20,20,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.919,0,21,21,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.7422,0,22,22,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.7722,0,23,23,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.837900001,0,24,24,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.918900001,0,25,25,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.037900001,0,26,26,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0386,0,27,27,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,3,93,2022-05-04_08h06.20.983,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.843,0,28,28,67,1,25000,0,75000,10
