key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,47.8801,space,30.659,space,30.671,space,8.3526,right,65.174,space,12.0682,left,0.0,3.8209,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,4.5177,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,7.3197,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,g,56.386,left,1.0,6.059,0.0,0.0,0.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,10.9492,0.0,1.0,1.0,76.0,1.0,25000.0,0.0,55000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,4.4012,0.0,2.0,2.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,8.8238,0.0,3.0,3.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,5.2484,0.0,4.0,4.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,4.6431,0.0,5.0,5.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.0688,0.0,6.0,6.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,4.4238,0.0,7.0,7.0,15.0,1.0,10000.0,0.0,20000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,6.2155,0.0,8.0,8.0,21.0,1.0,10000.0,0.0,40000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.8007,0.0,9.0,9.0,11.0,1.0,10000.0,0.0,39000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,7.0873,0.0,10.0,10.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.5435,0.0,11.0,11.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.122,0.0,12.0,12.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,13.0,13.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,14.0,14.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,15.0,15.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,16.0,16.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,17.0,17.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,18.0,18.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,19.0,19.0,54.0,1.0,5000.0,0.0,150000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.2662,0.0,20.0,20.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.6689,0.0,21.0,21.0,45.0,1.0,5000.0,0.0,15000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0603,0.0,22.0,22.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,23.0,23.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,24.0,24.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.564,0.0,25.0,25.0,42.0,1.0,5000.0,0.0,56000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,26.0,26.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.1869,0.0,27.0,27.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.1239,0.0,28.0,28.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,29.0,29.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,30.0,30.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,9999,2021-10-11_12h17.03.419,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,,0.0,31.0,31.0,49.0,1.0,5000.0,0.0,149000.0,59.0
