key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,31.6203,space,17.8343,space,21.8912,space,5.312,right,16.0931,space,1.4619,left,1.0,6.5606,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,4.7238,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.0244,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,g,12.2296,right,0.0,18.3384,0.0,0.0,0.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.833,0.0,1.0,1.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,11.3682,0.0,2.0,2.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.4345,0.0,3.0,3.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.3475,0.0,4.0,4.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.3668,0.0,5.0,5.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.8327,0.0,6.0,6.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.0306,0.0,7.0,7.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,F461,2022-09-07_08h01.32.171,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.5247,0.0,8.0,8.0,11.0,1.0,10000.0,0.0,39000.0,29.0
