key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,5.0072,space,29.036,space,31.457,space,3.9232,right,34.3388,space,10.8111,left,0.0,12.2518,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,10.863,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,7.3137,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,g,1.73,right,0.0,11.3976,0.0,0.0,0.0,11.0,1.0,10000.0,0.0,39000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.5529,0.0,1.0,1.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.2117,0.0,2.0,2.0,27.0,1.0,10000.0,0.0,61000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.6751,0.0,3.0,3.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,7.0494,0.0,4.0,4.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.4213,0.0,5.0,5.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.9755,0.0,6.0,6.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.2031,0.0,7.0,7.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.1859,0.0,8.0,8.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.7919,0.0,9.0,9.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.8701,0.0,10.0,10.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.9289,0.0,11.0,11.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.189,0.0,12.0,12.0,13.0,1.0,10000.0,0.0,111000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2163,0.0,13.0,13.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.4422,0.0,14.0,14.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.3928,0.0,15.0,15.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.919,0.0,16.0,16.0,42.0,1.0,5000.0,0.0,56000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2311,0.0,17.0,17.0,19.0,1.0,10000.0,0.0,149000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.3608,0.0,18.0,18.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.9965,0.0,19.0,19.0,21.0,1.0,10000.0,0.0,40000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.5403,0.0,20.0,20.0,28.0,1.0,10000.0,0.0,109000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.834,0.0,21.0,21.0,82.0,1.0,25000.0,0.0,75000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.1924,0.0,22.0,22.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.661,0.0,23.0,23.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.2308,0.0,24.0,24.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,5.9176,0.0,25.0,25.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.0532,0.0,26.0,26.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.0782,0.0,27.0,27.0,9.0,1.0,10000.0,0.0,151000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.1726,0.0,28.0,28.0,76.0,1.0,25000.0,0.0,55000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,8.4663,0.0,29.0,29.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6569,0.0,30.0,30.0,68.0,1.0,25000.0,0.0,125000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.7992,0.0,31.0,31.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,7.7073,0.0,32.0,32.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,11.4004,0.0,33.0,33.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,7.6628,0.0,34.0,34.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.2343,0.0,35.0,35.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,9.2747,0.0,36.0,36.0,53.0,1.0,5000.0,0.0,104000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.4996,0.0,37.0,37.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.4246,0.0,38.0,38.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.1283,0.0,39.0,39.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.8371,0.0,40.0,40.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2113,0.0,41.0,41.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.9487,0.0,42.0,42.0,54.0,1.0,5000.0,0.0,150000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3425,0.0,43.0,43.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f482,2022-09-07_09h07.50.696,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.8174,0.0,44.0,44.0,40.0,1.0,5000.0,0.0,14000.0,31.0
