key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,18.147,space,18.3155,space,18.699,space,15.3492,right,7.5316,space,2.8165,right,0,17.4336,0,0,0,2,1,10000,19000,89,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,18.2555,0,1,1,1,1,25000,35000,150,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,7.0423,0,2,2,0,1,10000,109000,9,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,g,11.5564,right,1,16.9863,0,0,0,73,1,25000,0,125000,31,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.3229,0,1,1,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,7.7378,0,2,2,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.9489,0,3,3,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.5167,0,4,4,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,5,5,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.7327,0,6,6,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.0152,0,7,7,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0501,0,8,8,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.0663,0,9,9,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3857,0,10,10,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.9301,0,11,11,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6668,0,12,12,69,1,25000,0,150000,9,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.6559,0,13,13,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0,7.1659,0,14,14,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.8234,0,15,15,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.3895,0,16,16,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.449,0,17,17,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0574,0,18,18,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.5491,0,19,19,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.6584,0,20,20,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6035,0,21,21,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.5577,0,22,22,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.9911,0,23,23,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.5336,0,24,24,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0173,0,25,25,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.5538,0,26,26,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.776,0,27,27,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2683,0,28,28,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6739,0,29,29,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.5853,0,30,30,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.8191,0,31,31,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4018,0,32,32,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.1336,0,33,33,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.6391,0,34,34,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2035,0,35,35,32,1,5000,0,54000,5,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4666,0,36,36,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0165,0,37,37,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2333,0,38,38,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.4994,0,39,39,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.1215,0,40,40,76,1,25000,0,55000,60,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2347,0,41,41,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4017,0,42,42,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.867,0,43,43,2,1,10000,0,61000,4,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4893,0,44,44,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8824,0,45,45,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2502,0,46,46,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0709,0,47,47,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.8338,0,48,48,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.0713,0,49,49,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,10.8,0,50,50,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.4242,0,51,51,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.4209,0,52,52,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.7355,0,53,53,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,8.3493,0,54,54,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.6664,0,55,55,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.8063,0,56,56,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.6175,0,57,57,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.4358,0,58,58,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.0506,0,59,59,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.4323,0,60,60,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3354,0,61,61,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,1,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.4829,0,62,62,29,1,10000,0,151000,151,,
