key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,0.856845,space,10.5667,space,8.464845,space,4.40151,right,6.607345,space,1.751255,right,1.0,4.581915,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,5.30738,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.960835,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,g,29.61709,left,1.0,2.6675,0.0,0.0,0.0,35.0,1.0,5000.0,0.0,15000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,3.346595,0.0,1.0,1.0,58.0,1.0,5000.0,0.0,106000.0,152.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,5.03273,0.0,2.0,2.0,62.0,1.0,25000.0,0.0,75000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.00913,0.0,3.0,3.0,50.0,1.0,5000.0,0.0,15000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.0629,0.0,4.0,4.0,19.0,1.0,10000.0,0.0,149000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.43827,0.0,5.0,5.0,38.0,1.0,5000.0,0.0,104000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.777305,0.0,6.0,6.0,22.0,1.0,10000.0,0.0,61000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.711365,0.0,7.0,7.0,72.0,1.0,25000.0,0.0,75000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,3.160355,0.0,8.0,8.0,16.0,1.0,10000.0,0.0,39000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.125355,0.0,9.0,9.0,81.0,1.0,25000.0,0.0,55000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.77347,0.0,10.0,10.0,79.0,1.0,25000.0,0.0,150000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.277975,0.0,11.0,11.0,85.0,1.0,25000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,2.40987,0.0,12.0,12.0,17.0,1.0,10000.0,0.0,60000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.94024,0.0,13.0,13.0,26.0,1.0,10000.0,0.0,39000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.57506,0.0,14.0,14.0,80.0,1.0,25000.0,0.0,35000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.55777,0.0,15.0,15.0,47.0,1.0,5000.0,0.0,56000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.79107,0.0,16.0,16.0,44.0,1.0,5000.0,0.0,150000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.308815,0.0,17.0,17.0,74.0,1.0,25000.0,0.0,150000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.62206,0.0,18.0,18.0,12.0,1.0,10000.0,0.0,60000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.87513,0.0,19.0,19.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.61857,0.0,20.0,20.0,30.0,1.0,5000.0,0.0,16000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.908465,0.0,21.0,21.0,45.0,1.0,5000.0,0.0,15000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.68809,0.0,22.0,22.0,2.0,1.0,10000.0,0.0,61000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.72122,0.0,23.0,23.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.76385,0.0,24.0,24.0,64.0,1.0,25000.0,0.0,150000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.27694,0.0,25.0,25.0,86.0,1.0,25000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.98936,0.0,26.0,26.0,40.0,1.0,5000.0,0.0,14000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.16974,0.0,27.0,27.0,18.0,1.0,10000.0,0.0,110000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,193,2020-11-12_11h35.37.243,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.006415,0.0,28.0,28.0,31.0,1.0,5000.0,0.0,35000.0,6.0,,
