key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,5.943085,space,37.310615,space,9.425815,space,3.748245,right,2.37907,space,3.125345,left,1.0,1.30064,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,1.75285,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.011215,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,g,153.99508,left,0.0,2.0084,0.0,0.0,0.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.191045,0.0,1.0,1.0,26.0,1.0,10000.0,0.0,39000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.200465,0.0,2.0,2.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.25526,0.0,3.0,3.0,79.0,1.0,25000.0,0.0,150000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.517,0.0,4.0,4.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.008435,0.0,5.0,5.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.695955,0.0,6.0,6.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.4065,0.0,7.0,7.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.942635,0.0,8.0,8.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.698665,0.0,9.0,9.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.363945,0.0,10.0,10.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.00733,0.0,11.0,11.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.4749,0.0,12.0,12.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.331055,0.0,13.0,13.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.937975,0.0,14.0,14.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.27645,0.0,15.0,15.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,10.97058,0.0,16.0,16.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.092295,0.0,17.0,17.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.80958,0.0,18.0,18.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.159215,0.0,19.0,19.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.761165,0.0,20.0,20.0,27.0,1.0,10000.0,0.0,61000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.202525,0.0,21.0,21.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.186485,0.0,22.0,22.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.5011,0.0,23.0,23.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.43992,0.0,24.0,24.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.592695,0.0,25.0,25.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.505585,0.0,26.0,26.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.732335,0.0,27.0,27.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.39971,0.0,28.0,28.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.275465,0.0,29.0,29.0,20.0,1.0,10000.0,0.0,20000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,212,2020-11-12_11h18.05.673,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.28115,0.0,30.0,30.0,72.0,1.0,25000.0,0.0,75000.0,31.0
