key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,3.4221,space,0.7885,space,0.1733,space,0.8915,right,7.1115,space,7.3238,right,0.0,7.2913,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,3.7067,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,6.807,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,g,11.2024,right,1.0,3.9569,0.0,0.0,0.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.773,0.0,1.0,1.0,9.0,1.0,10000.0,0.0,151000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.0064,0.0,2.0,2.0,16.0,1.0,10000.0,0.0,39000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.0564,0.0,3.0,3.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.3734,0.0,4.0,4.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.2738,0.0,5.0,5.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.1805,0.0,6.0,6.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.857,0.0,7.0,7.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.6062,0.0,8.0,8.0,82.0,1.0,25000.0,0.0,75000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,7.258,0.0,9.0,9.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.4741,0.0,10.0,10.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,8.1902,0.0,11.0,11.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,8.0404,0.0,12.0,12.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.7743,0.0,13.0,13.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,230,2022-03-05_09h48.09.930,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.6401,0.0,14.0,14.0,39.0,1.0,5000.0,0.0,149000.0,10.0
