key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,4.4961,space,12.7798,space,24.7784,space,3.0584,right,17.3724,space,1.4415,left,1.0,7.1104,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,3.5429,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.2811,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,g,53.7862,left,1.0,3.231,0.0,0.0,0.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,7.3596,0.0,1.0,1.0,27.0,1.0,10000.0,0.0,61000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,5.8647,0.0,2.0,2.0,39.0,1.0,5000.0,0.0,149000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.7973,0.0,3.0,3.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,10.0504,0.0,4.0,4.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.8657,0.0,5.0,5.0,84.0,1.0,25000.0,0.0,150000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.2471,0.0,6.0,6.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.7215,0.0,7.0,7.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.4884,0.0,8.0,8.0,57.0,1.0,5000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.3227,0.0,9.0,9.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6316,0.0,10.0,10.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,440,2022-09-07_07h37.22.348,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.3241,0.0,11.0,11.0,88.0,1.0,25000.0,0.0,125000.0,149.0
