key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,4.4125,space,29.9713,space,12.0919,space,5.4375,left,5.362,space,2.3401,left,0.0,8.2882,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,6.8026,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,4.3492,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,g,13.948,right,1.0,4.3425,0.0,0.0,0.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.775,0.0,1.0,1.0,88.0,1.0,25000.0,0.0,125000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.1939,0.0,2.0,2.0,33.0,1.0,5000.0,0.0,104000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.1406,0.0,3.0,3.0,53.0,1.0,5000.0,0.0,104000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.1583,0.0,4.0,4.0,6.0,1.0,10000.0,0.0,40000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.8055,0.0,5.0,5.0,39.0,1.0,5000.0,0.0,149000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.4128,0.0,6.0,6.0,10.0,1.0,10000.0,0.0,21000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.9827,0.0,7.0,7.0,51.0,1.0,5000.0,0.0,35000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.1153,0.0,8.0,8.0,32.0,1.0,5000.0,0.0,54000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.2737,0.0,9.0,9.0,9.0,1.0,10000.0,0.0,151000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.3652,0.0,10.0,10.0,17.0,1.0,10000.0,0.0,60000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.4313,0.0,11.0,11.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.8302,0.0,12.0,12.0,13.0,1.0,10000.0,0.0,111000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2213,0.0,13.0,13.0,66.0,1.0,25000.0,0.0,55000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.2657,0.0,14.0,14.0,84.0,1.0,25000.0,0.0,150000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.2228,0.0,15.0,15.0,60.0,1.0,25000.0,0.0,35000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,441,2022-09-07_07h12.27.204,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.834,0.0,16.0,16.0,1.0,1.0,10000.0,0.0,39000.0,6.0,,
