key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,8.0751,space,25.8387,space,20.4725,space,4.2234,left,4.1396,space,2.8565,left,0.0,5.5251,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,6.3565,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,8.9399,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,g,12.8234,right,0.0,5.9397,0.0,0.0,0.0,72.0,1.0,25000.0,0.0,75000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.9901,0.0,1.0,1.0,89.0,1.0,25000.0,0.0,150000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.9572,0.0,2.0,2.0,56.0,1.0,5000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,6.5736,0.0,3.0,3.0,73.0,1.0,25000.0,0.0,125000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,10.0903,0.0,4.0,4.0,77.0,1.0,25000.0,0.0,75000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.6561,0.0,5.0,5.0,26.0,1.0,10000.0,0.0,39000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,2,474,2022-03-05_08h54.05.949,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.9394,0.0,6.0,6.0,44.0,1.0,5000.0,0.0,150000.0,30.0,,
