key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,14.0673,space,13.0009,space,9.0211,space,1.9419,right,5.7167,space,0.9922,right,0.0,5.3909,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,150.0,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,2.9437,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,9.0,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,2.4842,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,g,4.3731,right,0.0,2.3589,0.0,0.0,0.0,85.0,1.0,25000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.1872,0.0,1.0,1.0,26.0,1.0,10000.0,0.0,39000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.4067,0.0,2.0,2.0,18.0,1.0,10000.0,0.0,110000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.3005,0.0,3.0,3.0,52.0,1.0,5000.0,0.0,56000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.5892,0.0,4.0,4.0,16.0,1.0,10000.0,0.0,39000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.0184,0.0,5.0,5.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,24-09-22,71,2022-09-24_08h43.29.595,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.0604,0.0,6.0,6.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
