key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,3.637905,space,7.287115,space,6.8411,space,3.03424,right,2.728455,space,1.855955,right,1.0,6.991835,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.03422,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,10.267215,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,g,7.735575,right,1.0,2.617025,0.0,0.0,0.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.42428,0.0,1.0,1.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.885005,0.0,2.0,2.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.08647,0.0,3.0,3.0,50.0,1.0,5000.0,0.0,15000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.94008,0.0,4.0,4.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.640205,0.0,5.0,5.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.595245,0.0,6.0,6.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.089795,0.0,7.0,7.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.033765,0.0,8.0,8.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,76,2020-11-13_09h51.53.422,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.689555,0.0,9.0,9.0,40.0,1.0,5000.0,0.0,14000.0,31.0
