key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,4.8956,space,50.2812,space,4.6482,space,1.5392,left,3.8591,space,1.7982,right,1.0,3.0905,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,3.1181,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.192,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,g,4.9876,left,0.0,4.3854,0.0,0.0,0.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.7395,0.0,1.0,1.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.3128,0.0,2.0,2.0,26.0,1.0,10000.0,0.0,39000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.5047,0.0,3.0,3.0,75.0,1.0,25000.0,0.0,35000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.9307,0.0,4.0,4.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.9853,0.0,5.0,5.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.2817,0.0,6.0,6.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.9572,0.0,7.0,7.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.9252,0.0,8.0,8.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F460,2022-09-07_08h50.06.803,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.899,0.0,9.0,9.0,21.0,1.0,10000.0,0.0,40000.0,91.0
