key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,8.7065,space,31.8089,space,54.5752,space,7.2752,right,4.3299,space,2.1669,left,0.0,5.2338,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,6.731,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,16.7675,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,89.0,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,g,20.2222,left,1.0,6.6524,0.0,0.0,0.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,,0.0,,0.0,1.0,1.0,20.0,1.0,10000.0,0.0,20000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.1519,0.0,2.0,2.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6852,0.0,3.0,3.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.5348,0.0,4.0,4.0,49.0,1.0,5000.0,0.0,149000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,5.7331,0.0,5.0,5.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.1665,0.0,6.0,6.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.9216,0.0,7.0,7.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.7145,0.0,8.0,8.0,63.0,1.0,25000.0,0.0,125000.0,4.0
