key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,5.7937,space,36.3203,space,41.2534,space,6.1769,left,3.4589,space,2.3277,right,1.0,8.1546,0.0,0.0,0.0,0.0,1.0,10000.0,109000.0,9.0,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.3017,0.0,1.0,1.0,2.0,1.0,10000.0,19000.0,89.0,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,3.5362,0.0,2.0,2.0,1.0,1.0,25000.0,35000.0,150.0,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,g,32.0038,left,0.0,4.7957,0.0,0.0,0.0,71.0,1.0,25000.0,0.0,55000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,7.3825,0.0,1.0,1.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,7.0618,0.0,2.0,2.0,87.0,1.0,25000.0,0.0,75000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,9.7888,0.0,3.0,3.0,26.0,1.0,10000.0,0.0,39000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.8623,0.0,4.0,4.0,19.0,1.0,10000.0,0.0,149000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.2844,0.0,5.0,5.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.6193,0.0,6.0,6.0,0.0,1.0,10000.0,0.0,20000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f442,2022-09-07_08h36.50.488,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.8075,0.0,7.0,7.0,77.0,1.0,25000.0,0.0,75000.0,59.0
