key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,18.147,space,18.3155,space,18.699,space,15.3492,right,7.5316,space,2.8165,right,0.0,17.4336,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,18.2555,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0.0,7.0423,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,g,11.5564,right,1.0,16.9863,0.0,0.0,0.0,73.0,1.0,25000.0,0.0,125000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,5.3229,0.0,1.0,1.0,86.0,1.0,25000.0,0.0,55000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.7378,0.0,2.0,2.0,78.0,1.0,25000.0,0.0,125000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.9489,0.0,3.0,3.0,39.0,1.0,5000.0,0.0,149000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,6.5167,0.0,4.0,4.0,10.0,1.0,10000.0,0.0,21000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,,0.0,,0.0,5.0,5.0,87.0,1.0,25000.0,0.0,75000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.7327,0.0,6.0,6.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.0152,0.0,7.0,7.0,40.0,1.0,5000.0,0.0,14000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.0501,0.0,8.0,8.0,15.0,1.0,10000.0,0.0,20000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.0663,0.0,9.0,9.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.3857,0.0,10.0,10.0,19.0,1.0,10000.0,0.0,149000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.9301,0.0,11.0,11.0,5.0,1.0,10000.0,0.0,19000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.6668,0.0,12.0,12.0,69.0,1.0,25000.0,0.0,150000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,5.6559,0.0,13.0,13.0,11.0,1.0,10000.0,0.0,39000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,f489,2022-09-07_09h23.15.546,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,7.1659,0.0,14.0,14.0,71.0,1.0,25000.0,0.0,55000.0,30.0,,
