key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,0.9184,space,0.0378,space,0.0716,space,0.1395,right,12.1912,space,3.3895,right,0,0.6066,0,0,0,0,1,10000,109000,9,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.0568,0,1,1,2,1,10000,19000,89,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,0.4235,0,2,2,1,1,25000,35000,150,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,g,13.0053,right,1,2.1226,0,0,0,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,left,0,7.5234,0,1,1,45,1,5000,0,15000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.49,0,2,2,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5571,0,3,3,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.2065,0,4,4,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3732,0,5,5,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3066,0,6,6,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.4559,0,7,7,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.5729,0,8,8,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.4235,0,9,9,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0233,0,10,10,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,151,2022-03-05_09h47.18.391,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.3765,0,11,11,42,1,5000,0,56000,29,,
