key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,13.92347,space,31.37475,space,41.38465,space,3.23886,right,5.195795,space,7.47101,left,1,4.72293,0,0,0,0,1,10000,109000,9,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,7.339145,0,1,1,1,1,25000,35000,150,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,4.006025,0,2,2,2,1,10000,19000,89,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,g,53.372935,left,1,5.685925,0,0,0,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.524415,0,1,1,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.702255,0,2,2,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.76976,0,3,3,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.70556,0,4,4,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.75514,0,5,5,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,,002,77,2020-11-13_09h49.34.218,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.802825,0,6,6,9,1,10000,0,151000,11
