key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,26.6941,space,19.325,space,8.9368,space,2.7108,right,13.2855,space,3.4817,right,0,9.2179,0,0,0,1,1,25000,35000,150,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,13.7249,0,1,1,0,1,10000,109000,9,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,3.9409,0,2,2,2,1,10000,19000,89,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,g,6.2448,right,0,15.2167,0,0,0,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.9338,0,1,1,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.91,0,2,2,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,right,0,12.4514,0,3,3,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,4,4,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,5,5,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,6,6,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,4/05/2022,ERI,2022-05-03_07h56.43.940,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.1314,0,7,7,24,1,10000,0,149000,89
