key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,27.481,space,39.8071,space,4.5541,space,14.3812,right,5.9041,space,2.2609,right,1,4.3746,0,0,0,0,1,10000,109000,9,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,10.3056,0,1,1,2,1,10000,19000,89,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,4.3388,0,2,2,1,1,25000,35000,150,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,g,6.1585,left,0,3.2604,0,0,0,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2639,0,1,1,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.4289,0,2,2,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1505,0,3,3,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.1793,0,4,4,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0115,0,5,5,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3817,0,6,6,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.1145,0,7,7,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.1698,0,8,8,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.0336,0,9,9,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.9339,0,10,10,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.7952,0,11,11,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9284,0,12,12,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.8432,0,13,13,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.563,0,14,14,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.3679,0,15,15,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.6796,0,16,16,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.4824,0,17,17,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4638,0,18,18,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.3804,0,19,19,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.261,0,20,20,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4967,0,21,21,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.4937,0,22,22,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0781,0,23,23,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.9724,0,24,24,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.1729,0,25,25,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.1976,0,26,26,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.6608,0,27,27,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4628,0,28,28,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4989,0,29,29,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0557,0,30,30,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.7484,0,31,31,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.7765,0,32,32,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.1547,0,33,33,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.7376,0,34,34,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,0,7.1201,0,35,35,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9788,0,36,36,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.8378,0,37,37,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4857,0,38,38,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,07-sep-22,F501,2022-09-07_09h06.40.785,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.8651,0,39,39,34,1,5000,0,151000,4
