key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,7.1446,space,16.1845,space,24.127,space,3.5195,right,3.548,space,2.3308,left,0,6.5527,0,0,0,2,1,10000,19000,89,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,2.7738,0,1,1,0,1,10000,109000,9,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,9.0563,0,2,2,1,1,25000,35000,150,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,g,10.2249,right,1,13.6878,0,0,0,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.4334,0,1,1,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.5941,0,2,2,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9828,0,3,3,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7947,0,4,4,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.9915,0,5,5,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.0241,0,6,6,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.6605,0,7,7,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5162,0,8,8,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9752,0,9,9,77,1,25000,0,75000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.8633,0,10,10,73,1,25000,0,125000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5975,0,11,11,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5242,0,12,12,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.0007,0,13,13,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.6872,0,14,14,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2859,0,15,15,1,1,10000,0,39000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.9892,0,16,16,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.1981,0,17,17,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4329,0,18,18,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.8687,0,19,19,2,1,10000,0,61000,4,,
