key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,1.3186,space,0.3011,space,0.2365,space,0.123,space,0.306,space,0.9754,right,0,2.7401,0,0,0,0,1,10000,109000,9,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,5.5996,0,1,1,1,1,25000,35000,150,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0.9339,0,2,2,2,1,10000,19000,89,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,g,2.1673,right,0,1.2474,0,0,0,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5261,0,1,1,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.4595,0,2,2,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.0438,0,3,3,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.0123,0,4,4,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.4234,0,5,5,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.9291,0,6,6,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0834,0,7,7,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5273,0,8,8,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.9858,0,9,9,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.2672,0,10,10,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.2869,0,11,11,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.7899,0,12,12,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,prueba 2022,prueba 2022 ,2022-03-03_15h29.44.331,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.3831,0,13,13,69,1,25000,0,150000,9
