key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,26.9029,space,39.6969,space,3.5968,space,5.8551,right,5.6881,space,5.1306,left,1,2.8186,0,0,0,0,1,10000,109000,9,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,12.0801,0,1,1,2,1,10000,19000,89,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0.3756,0,2,2,1,1,25000,35000,150,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,g,60.1059,right,1,0.5802,0,0,0,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.1855,0,1,1,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.805,0,2,2,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.6396,0,3,3,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7891,0,4,4,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9273,0,5,5,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1444,0,6,6,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9626,0,7,7,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9713,0,8,8,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4698,0,9,9,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.3626,0,10,10,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.0634,0,11,11,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.2464,0,12,12,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.3146,0,13,13,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4038,0,14,14,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0234,0,15,15,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0352,0,16,16,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0716,0,17,17,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.6663,0,18,18,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.2364,0,19,19,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.973,0,20,20,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9172,0,21,21,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7519,0,22,22,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2494,0,23,23,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.8641,0,24,24,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.6898,0,25,25,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.7676,0,26,26,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.135,0,27,27,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.6519,0,28,28,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.3013,0,29,29,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8153,0,30,30,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3912,0,31,31,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.7515,0,32,32,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.5767,0,33,33,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4215,0,34,34,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.9741,0,35,35,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0651,0,36,36,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4638,0,37,37,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.3042,0,38,38,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.0886,0,39,39,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3304,0,40,40,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4018,0,41,41,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.8745,0,42,42,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6341,0,43,43,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.8143,0,44,44,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.1268,0,45,45,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.6184,0,46,46,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4962,0,47,47,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.1675,0,48,48,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.867,0,49,49,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.6838,0,50,50,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.2394,0,51,51,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.67,0,52,52,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0924,0,53,53,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.067,0,54,54,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.0027,0,55,55,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,,prueba,prueba 2,2021-10-28_15h04.19.064,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4676,0,56,56,79,1,25000,0,150000,61
