key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
space,7.4074,space,35.5347,space,23.8284,space,12.8302,left,7.899,space,1.7191,right,0,4.1375,0,0,0,2,1,10000,19000,89,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,5.6512,0,1,1,0,1,10000,109000,9,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,2.8362,0,2,2,1,1,25000,35000,150,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,g,4.3433,left,0,3.1215,0,0,0,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.7444,0,1,1,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0971,0,2,2,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1716,0,3,3,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6545,0,4,4,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.1274,0,5,5,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0567,0,6,6,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3826,0,7,7,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.4428,0,8,8,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.0359,0,9,9,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.1199,0,10,10,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,1,61,2022-05-10_09h37.50.249,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.2025,0,11,11,5,1,10000,0,19000,11
