key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
space,21.5315,space,19.3002,space,11.6759,space,3.6368,left,2.5682,space,1.1485,left,0,3.6095,0,0,0,2,1,10000,19000,89,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,3.4063,0,1,1,1,1,25000,35000,150,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,5.683,0,2,2,0,1,10000,109000,9,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,g,6.2004,right,1,2.4085,0,0,0,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.7176,0,1,1,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7076,0,2,2,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.9525,0,3,3,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6892,0,4,4,76,1,25000,0,55000,60,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.0531,0,5,5,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.5384,0,6,6,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,2,70,2022-09-24_09h07.59.721,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2007,0,7,7,71,1,25000,0,55000,30,,
