key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,10.018,space,13.476,space,20.983,space,4.15,left,4.518,space,0.877,left,0,6.079,0,0,0,1,1,25000,35000,150,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,6.817,0,1,1,2,1,10000,19000,89,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,3.72,0,2,2,0,1,10000,109000,9,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,g,82.323,right,1,3.97,0,0,0,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.642,0,1,1,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,4.649,0,2,2,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.811,0,3,3,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,2.188,0,4,4,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.936,0,5,5,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,4.483,0,6,6,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.891,0,7,7,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.852,0,8,8,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.126,0,9,9,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.407,0,10,10,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.994,0,11,11,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.389,0,12,12,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.301,0,13,13,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.503,0,14,14,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.868,0,15,15,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.919,0,16,16,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.851,0,17,17,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.534,0,18,18,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.116,0,19,19,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,0.718,0,20,20,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.278,0,21,21,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.042,0,22,22,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.713,0,23,23,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.061,0,24,24,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.555,0,25,25,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.125,0,26,26,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.768,0,27,27,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.792,0,28,28,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.753,0,29,29,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.244,0,30,30,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.433,0,31,31,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.284,0,32,32,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.625,0,33,33,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.906,0,34,34,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.367,0,35,35,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.544,0,36,36,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.894,0,37,37,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.652,0,38,38,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.2,0,39,39,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.354,0,40,40,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.63,0,41,41,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.885,0,42,42,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,0.94,0,43,43,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.24,0,44,44,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.339,0,45,45,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.878,0,46,46,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.04,0,47,47,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,5.627,0,48,48,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.177,0,49,49,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,2.025,0,50,50,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.205,0,51,51,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.013,0,52,52,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.769,0,53,53,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.635,0,54,54,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.011,0,55,55,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.695,0,56,56,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.891,0,57,57,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,0.968,0,58,58,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.688,0,59,59,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.904,0,60,60,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.837,0,61,61,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.311,0,62,62,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.259,0,63,63,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.168,0,64,64,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.361,0,65,65,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.227,0,66,66,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.884,0,67,67,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.66,0,68,68,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.093,0,69,69,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.107,0,70,70,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.704,0,71,71,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.727,0,72,72,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.551,0,73,73,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.408,0,74,74,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.184,0,75,75,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,6.503,0,76,76,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.738,0,77,77,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,6.25,0,78,78,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.299,0,79,79,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.418,0,80,80,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.494,0,81,81,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,1.793,0,82,82,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,0.861,0,83,83,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,1.968,0,84,84,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,1.434,0,85,85,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0,2.41,0,86,86,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0,1.567,0,87,87,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1,2.238,0,88,88,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,111 ,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1,3.229,0,89,89,43,1,5000,0,106000,29
