key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,214.51766,space,5.07882,space,129.437175,space,4.284935,right,8.631565,space,1.73482,right,1,9.122615,0,0,0,0,1,10000,109000,9,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,3.71126,0,1,1,1,1,25000,35000,150,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,10.504885,0,2,2,2,1,10000,19000,89,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,g,11.12468,left,1,4.51829,0,0,0,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,18.87086,0,1,1,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.69159,0,2,2,73,1,25000,0,125000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.76029,0,3,3,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.420385,0,4,4,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,7.33683,0,5,5,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.32117,0,6,6,3,1,10000,0,109000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.91956,0,7,7,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,14.50893,0,8,8,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.67293,0,9,9,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,10,10,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.946135,0,11,11,2,1,10000,0,61000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.042525,0,12,12,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.00346,0,13,13,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.41772,0,14,14,4,1,10000,0,150000,5,,
