key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,79.864,space,42.841,space,15.127,space,3.053,left,84.375,space,1.053,right,0,11.99,0,0,0,2,1,10000,19000,89,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,9.408,0,1,1,1,1,25000,35000,150,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,4.736,0,2,2,0,1,10000,109000,9,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,g,9.418,left,0,12.252,0,0,0,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.405,0,1,1,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.804,0,2,2,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.684,0,3,3,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.535,0,4,4,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.573,0,5,5,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.955,0,6,6,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.687,0,7,7,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.258,0,8,8,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.788,0,9,9,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,11.449,0,10,10,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.138,0,11,11,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.237,0,12,12,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.484,0,13,13,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.427,0,14,14,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,7.351,0,15,15,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.592,0,16,16,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.02,0,17,17,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.128,0,18,18,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.971,0,19,19,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.089,0,20,20,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.309,0,21,21,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.47,0,22,22,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.718,0,23,23,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,002,238,2020-11-12_11h19.19.709,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.94,0,24,24,15,1,10000,0,20000,59
