key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,2.1978,space,6.5312,space,0.9494,space,3.4751,right,8.0409,space,1.6146,left,0,7.0777,0,0,0,2,1,10000,19000,89,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,9.2613,0,1,1,1,1,25000,35000,150,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,5.4039,0,2,2,0,1,10000,109000,9,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,g,10.4931,left,1,8.2066,0,0,0,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.5464,0,1,1,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2385,0,2,2,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.9317,0,3,3,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.9086,0,4,4,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0675,0,5,5,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.7515,0,6,6,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-22,F457,2022-09-07_08h25.26.933,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.8228,0,7,7,20,1,10000,0,20000,90,,
