key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,12.486,space,9.7067,space,25.2984,space,3.7423,right,7.8553,space,1.5129,left,1,13.9857,0,0,0,0,1,10000,109000,9,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,6.4205,0,1,1,1,1,25000,35000,150,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,7.2416,0,2,2,2,1,10000,19000,89,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,g,6.3682,right,1,3.4075,0,0,0,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.516,0,1,1,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.5553,0,2,2,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3585,0,3,3,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3808,0,4,4,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.9206,0,5,5,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.3282,0,6,6,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.7124,0,7,7,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.1749,0,8,8,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.8005,0,9,9,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.9382,0,10,10,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7292,0,11,11,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.693,0,12,12,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8343,0,13,13,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,07/sep/22,F485,2022-09-07_09h21.04.018,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3744,0,14,14,31,1,5000,0,35000,6
