key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,8.2248,space,95.9426,space,20.4134,space,3.8441,right,5.1615,space,2.1982,right,0,3.5595,0,0,0,2,1,10000,19000,89,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,1,1.9316,0,1,1,0,1,10000,109000,9,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,2.4648,0,2,2,1,1,25000,35000,150,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,g,8.8669,right,1,3.0467,0,0,0,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.153,0,1,1,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.2613,0,2,2,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.0865,0,3,3,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.9156,0,4,4,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.9426,0,5,5,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.2684,0,6,6,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.092,0,7,7,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.9019,0,8,8,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.0521,0,9,9,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9308,0,10,10,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.464,0,11,11,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.0654,0,12,12,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.7007,0,13,13,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.778,0,14,14,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,16.0324,0,15,15,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,12.0855,0,16,16,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0645,0,17,17,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.7158,0,18,18,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4849,0,19,19,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,17.0995,0,20,20,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,14.4168,0,21,21,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2811,0,22,22,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.8747,0,23,23,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,8.1926,0,24,24,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.8814,0,25,25,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,17.8297,0,26,26,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.6411,0,27,27,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.875,0,28,28,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.7319,0,29,29,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6296,0,30,30,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4703,0,31,31,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.1461,0,32,32,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.0855,0,33,33,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4776,0,34,34,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4546,0,35,35,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8765,0,36,36,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.7315,0,37,37,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.5735,0,38,38,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7427,0,39,39,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.7785,0,40,40,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.3721,0,41,41,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.2523,0,42,42,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.9917,0,43,43,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.2841,0,44,44,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.7903,0,45,45,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.7568,0,46,46,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.5824,0,47,47,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9308,0,48,48,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.2469,0,49,49,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,0,6.6272,0,50,50,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,1,7.1299,0,51,51,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.2144,0,52,52,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.797,0,53,53,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.6694,0,54,54,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0026,0,55,55,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f446,2022-09-07_08h05.21.609,tareaTDv3,2020.2.5,Win32,60,,,left,0,8.2479,0,56,56,82,1,25000,0,75000,90
