key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,54.3227,space,10.0526,space,2.4834,space,5.2959,left,5.3477,space,2.1844,left,0,3.3678,0,0,0,1,1,25000,35000,150,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,9.2953,0,1,1,0,1,10000,109000,9,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,5.364,0,2,2,2,1,10000,19000,89,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,g,36.5522,right,1,5.3677,0,0,0,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.7297,0,1,1,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.5933,0,2,2,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.8406,0,3,3,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.8358,0,4,4,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,0,6.2225,0,5,5,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,10.162,0,6,6,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.6038,0,7,7,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2529,0,8,8,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.1696,0,9,9,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.2098,0,10,10,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.9979,0,11,11,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.2964,0,12,12,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.8551,0,13,13,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,f483,2022-09-07_08h47.37.688,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6415,0,14,14,49,1,5000,0,149000,59,,
